Model,Macro AUC-ROC,Macro F1 (F1opt),Hamming Loss,Cohen Kappa
InceptionResNet (original),0.8281,0.5683,0.1725,0.4420
InceptionResNet (anti-overfit),0.8445,0.6000,0.1350,0.5030
ResNet50,0.7998,0.5045,0.2068,0.3642
EfficientNetB3,0.8037,0.5531,0.1818,0.4232
